Airtemp,Humidity,CO2,Water PH,Water EC,Water Temp,createdAt,InstallationID
597,579,801,645,1622,772,9/1/2016,Boston
597,575,802,644,1625,773,9/2/2016,Boston
597,573,803,643,1627,774,9/3/2016,Boston
596,570,803,643,1620,771,9/4/2016,Boston
597,570,804,642,1627,773,9/5/2016,Boston
597,571,806,642,1623,773,9/6/2016,Boston
597,570,806,642,1623,771,9/7/2016,Boston
597,568,807,642,1625,773,9/8/2016,Boston
598,568,808,642,1622,771,9/9/2016,Boston
599,567,808,642,1620,771,9/10/2016,Boston
600,569,807,642,1622,771,9/11/2016,Boston
600,572,808,641,1622,773,9/12/2016,Boston
599,570,807,641,1627,772,9/13/2016,Boston
600,568,808,641,1625,771,9/14/2016,Boston
600,566,809,640,1627,774,9/15/2016,Boston
601,567,810,640,1632,775,9/16/2016,Boston
603,566,813,641,1628,775,9/17/2016,Boston
605,567,812,641,1636,776,9/18/2016,Boston
606,567,812,640,1630,774,9/19/2016,Boston
606,566,811,639,1633,776,9/20/2016,Boston
607,566,813,639,1633,776,9/21/2016,Boston
608,564,814,639,1630,774,9/22/2016,Boston
610,564,816,639,1633,777,9/23/2016,Boston
611,564,816,639,1636,776,9/24/2016,Boston
612,564,817,639,1641,779,9/25/2016,Boston
612,563,818,639,1645,781,9/26/2016,Boston
613,561,819,639,1638,778,9/27/2016,Boston
614,558,820,639,1645,781,9/28/2016,Boston
616,560,822,639,1640,778,9/29/2016,Boston
616,561,822,639,1651,784,9/30/2016,Boston
617,561,821,639,1646,781,10/1/2016,Boston
618,561,821,639,1648,783,10/2/2016,Boston
619,559,823,638,1645,781,10/3/2016,Boston
619,557,824,638,1650,784,10/4/2016,Boston
620,560,824,638,1648,783,10/5/2016,Boston
621,558,825,639,1650,784,10/6/2016,Boston
623,559,827,639,1654,785,10/7/2016,Boston
624,559,831,638,1650,784,10/8/2016,Boston
625,559,830,639,1651,785,10/9/2016,Boston
625,558,828,639,1651,785,10/10/2016,Boston
626,559,828,638,1653,785,10/11/2016,Boston
627,556,831,638,1653,785,10/12/2016,Boston
630,560,830,638,1651,785,10/13/2016,Boston
631,560,829,638,1653,785,10/14/2016,Boston
631,560,830,638,1656,784,10/15/2016,Boston
632,558,830,639,1656,785,10/16/2016,Boston
633,558,833,638,1654,785,10/17/2016,Boston
634,558,834,638,1653,785,10/18/2016,Boston
636,558,837,639,1659,785,10/19/2016,Boston
637,558,837,638,1656,785,10/20/2016,Boston
638,558,838,638,1659,785,10/21/2016,Boston
638,553,838,639,1656,786,10/22/2016,Boston
641,558,838,639,1656,786,10/23/2016,Boston
642,558,839,638,1656,786,10/24/2016,Boston
642,557,840,638,1659,786,10/25/2016,Boston
644,556,841,639,1654,786,10/26/2016,Boston
645,559,840,639,1658,786,10/27/2016,Boston
646,559,839,638,1658,786,10/28/2016,Boston
647,561,842,638,1658,786,10/29/2016,Boston
648,560,843,638,1659,786,10/30/2016,Boston
649,559,843,638,1659,786,10/31/2016,Boston
650,561,843,638,1658,786,11/1/2016,Boston
652,561,842,638,1659,786,11/2/2016,Boston
653,563,839,639,1659,786,11/3/2016,Boston
653,560,836,639,1658,786,11/4/2016,Boston
655,560,833,638,1659,786,11/5/2016,Boston
656,559,832,638,1658,786,11/6/2016,Boston
657,557,832,639,1659,786,11/7/2016,Boston
658,557,833,639,1659,786,11/8/2016,Boston
660,558,834,638,1658,786,11/9/2016,Boston
661,559,835,638,1661,786,11/10/2016,Boston
662,559,837,639,1661,786,11/11/2016,Boston
663,557,839,638,1658,786,11/12/2016,Boston
664,559,838,638,1659,786,11/13/2016,Boston
666,558,836,637,1659,786,11/14/2016,Boston
668,559,836,639,1659,786,11/15/2016,Boston
669,558,837,638,1659,786,11/16/2016,Boston
671,560,838,638,1658,786,11/17/2016,Boston
